,hh_id,hh_race,hh_is_latinx,hh_zip_code,hh_state,hh_income,hh_size,hh_residence_type
22215,8215352,1,2,91945,CA,21,3,1
22216,8215402,1,2,63123,MO,11,1,1
22217,8215431,1,2,54956,WI,21,3,1
22218,8215467,1,2,77511,TX,23,2,1
22219,8215614,1,2,63021,MO,26,2,1
22220,8216045,1,2,95945,CA,8,1,5
22221,8216256,1,2,1020,MA,10,1,1
22222,8216307,1,2,63125,MO,10,1,5
22223,8216618,2,2,23222,VA,10,1,1
22224,8217064,3,2,92056,CA,16,2,1
22225,8217404,1,2,54736,WI,16,1,7
22226,8217979,2,2,63130,MO,17,5,1
22227,8218072,1,2,63376,MO,13,5,1
22228,8218286,4,2,63119,MO,18,1,1
22229,8218376,1,2,77706,TX,23,3,5
22230,8218401,1,2,56441,MN,11,2,1
22231,8004092,1,2,34109,FL,21,1,6
22232,8004777,1,2,32804,FL,10,1,1
22233,8005582,1,2,43154,OH,18,1,1
22234,8005792,1,2,43130,OH,10,1,1
22235,8006615,1,2,43130,OH,18,3,1
22236,8006635,1,2,43130,OH,10,1,1
22237,8006671,1,2,43155,OH,13,2,1
22238,8007403,1,2,35057,AL,26,2,1
22239,8007476,1,2,28734,NC,17,2,1
22240,8229135,2,2,30342,GA,13,1,1
22241,8229324,1,2,17841,PA,13,6,1
22242,8229377,2,2,29520,SC,21,2,1
22243,8229618,1,2,29709,SC,21,2,1
22244,8229793,1,2,29520,SC,17,3,1
22245,8230258,1,2,62012,IL,15,1,1
22246,8160057,1,2,34116,FL,15,2,1
22247,8160612,1,2,47371,IN,18,4,1
22248,8164138,1,2,45805,OH,11,3,7
22249,8215238,1,2,55427,MN,26,2,1
22250,8216350,4,2,33407,FL,17,2,1
22251,8216401,1,2,77437,TX,11,2,1
22252,8216563,1,2,55411,MN,13,4,1
22253,8216722,1,2,28001,NC,19,2,1
22254,8217508,1,2,40505,KY,15,1,1
22255,8217520,1,2,83849,ID,3,1,7
22256,8217618,1,2,62274,IL,19,3,1
22257,8217762,1,2,55435,MN,18,2,5
22258,8218226,1,2,70427,LA,11,3,1
22259,8218415,1,2,55404,MN,21,1,5
22260,8218559,1,2,62024,IL,26,4,1
22261,8218754,1,2,62095,IL,19,2,1
22262,8218918,1,2,33413,FL,15,2,5
22263,8218945,1,2,59701,MT,11,1,7
22264,8218971,1,2,55316,MN,17,2,1
22265,8219081,1,2,33462,FL,17,2,7
22266,8172780,1,2,55420,MN,26,4,1
22267,8162704,1,2,43322,OH,19,2,7
22268,8163088,2,2,33050,FL,18,1,1
22269,8163196,1,2,2920,RI,21,4,1
22270,8164060,1,2,43302,OH,18,2,1
22271,8164421,1,2,56039,MN,17,2,7
22272,8164604,1,2,65440,MO,15,2,1
22273,8164888,4,1,78040,TX,21,4,1
